year,inflation_index,construction_index
2015,237.00175000000002,213.54166666666666
2016,240.00541666666666,213.89166666666665
2017,245.121,221.64166666666665
2018,251.0995,235.75
2019,255.65258333333335,235.725
2020,258.85575,239.18333333333337
2021,270.97341666666665,303.41275
2022,292.62641666666667,341.53325
2023,304.70300000000003,331.78408333333334
2024,313.6981666666667,328.52175
2025,321.9619090909091,337.91016666666667
